"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
1,1,0.84,0.87,10.48,-0.76,0.78,5.35,0.00,0.00,1.00,1.00,-1.59,4.206e-04,-0.04,-0.57,1.466e-04,-0.15,0.82,-4.96e-04,-0.38,0.17,347.42,0.35,0.61,0.06,0.11,0.15,0.14,0.42,0.12
1,2,0.65,0.94,5.63,-0.33,0.00,3.74,0.00,0.00,1.00,1.00,-1.60,1.927e-04,-0.02,-0.66,2.5143e-03,-0.14,0.38,1.084e-03,-0.41,0.53,260.64,0.43,0.54,0.08,0.10,0.17,0.24,0.30,0.10
1,3,1.37,0.82,2.47,-0.10,0.00,2.40,0.00,0.00,1.00,1.00,-1.60,1.927e-04,-0.02,-0.66,2.5143e-03,-0.14,0.38,1.084e-03,-0.41,0.53,260.64,0.43,0.54,0.08,0.10,0.17,0.24,0.30,0.10
3,1,0.75,0.90,7.22,-0.46,0.00,6.12,0.00,0.00,1.00,1.00,-1.36,7.03e-05,-0.08,-0.60,-2.703e-04,-0.11,0.56,-1.445e-03,-0.34,0.59,268.06,0.37,0.62,0.08,0.10,0.16,0.16,0.36,0.10
3,2,1.18,0.83,2.47,-0.10,0.00,2.40,0.00,0.00,1.00,1.00,-1.60,1.927e-04,-0.02,-0.66,2.5143e-03,-0.14,0.38,1.084e-03,-0.41,0.53,260.64,0.43,0.54,0.08,0.10,0.17,0.24,0.30,0.10
3,3,1.37,0.82,2.47,-0.10,0.00,2.40,0.00,0.00,1.00,1.00,-1.60,1.927e-04,-0.02,-0.66,2.5143e-03,-0.14,0.38,1.084e-03,-0.41,0.53,260.64,0.43,0.54,0.08,0.10,0.17,0.24,0.30,0.10
4,1,0.84,0.87,10.48,-0.76,0.78,5.35,0.00,0.00,1.00,1.00,-1.59,4.206e-04,-0.04,-0.57,1.466e-04,-0.15,0.82,-4.96e-04,-0.38,0.17,347.42,0.35,0.61,0.06,0.11,0.15,0.14,0.42,0.12
4,2,0.65,0.94,5.63,-0.33,0.00,3.74,0.00,0.00,1.00,1.00,-1.60,1.927e-04,-0.02,-0.66,2.5143e-03,-0.14,0.38,1.084e-03,-0.41,0.53,260.64,0.43,0.54,0.08,0.10,0.17,0.24,0.30,0.10
4,3,1.37,0.82,2.47,-0.10,0.00,2.40,0.00,0.00,1.00,1.00,-1.60,1.927e-04,-0.02,-0.66,2.5143e-03,-0.14,0.38,1.084e-03,-0.41,0.53,260.64,0.43,0.54,0.08,0.10,0.17,0.24,0.30,0.10
5,1,0.51,0.95,5.43,-0.87,0.93,2.75,1.00,0.00,0.00,1.00,-1.37,-2.833e-04,-0.07,0.66,1.1636e-03,-0.41,0.02,1.77e-04,-0.38,0.13,1061.85,0.36,0.63,0.08,0.07,0.35,0.23,0.19,0.05
5,2,0.52,0.99,17.18,-1.08,0.94,3.35,1.00,0.00,0.00,1.00,-1.07,4.63e-05,-0.14,0.20,8.824e-04,-0.28,-0.89,8.3e-05,-0.28,0.29,680.57,0.43,0.64,0.11,0.09,0.33,0.22,0.11,0.04
5,3,0.62,1.00,34.99,-1.26,0.95,4.60,1.00,0.00,0.00,1.00,-1.06,3.532e-04,-0.17,-0.27,5.985e-04,-0.16,-2.00,-1.88e-04,-0.18,0.13,652.11,0.51,0.63,0.13,0.09,0.30,0.24,0.05,0.02
6,1,0.69,0.90,5.43,-0.87,0.93,2.75,1.00,0.00,0.00,1.00,-1.57,-1.7031e-03,-2.79e-03,-0.28,-2.893e-04,-0.19,0.75,-6.81e-04,-0.46,0.33,643.48,0.36,0.76,0.07,0.05,0.19,0.13,0.35,0.05
6,2,0.63,0.95,17.18,-1.08,0.94,3.35,1.00,0.00,0.00,1.00,-0.52,9.043e-04,-0.26,-0.25,6.478e-04,-0.21,1.47,1.026e-03,-0.72,2.00,383.65,0.34,0.65,0.12,0.11,0.17,0.18,0.36,0.05
6,3,0.72,0.96,34.99,-1.26,0.95,4.60,1.00,0.00,0.00,1.00,0.06,2.7884e-03,-0.46,0.12,7.449e-04,-0.25,0.81,-6.67e-04,-0.63,0.87,472.97,0.34,0.62,0.16,0.14,0.24,0.20,0.25,0.02
7,1,0.76,0.87,9.08,-1.08,0.95,2.72,0.00,0.00,1.00,1.00,-1.36,5.622e-04,-0.09,-0.84,1.964e-04,-0.03,-0.26,7.2e-05,-0.26,0.18,608.22,0.47,0.57,0.10,0.11,0.19,0.22,0.23,0.08
7,2,0.60,0.95,14.93,-1.01,0.88,3.78,0.00,0.00,1.00,1.00,-1.10,5.147e-04,-0.11,-1.54,4.377e-04,0.11,-0.44,2.013e-03,-0.39,0.51,1001.15,0.53,0.43,0.14,0.10,0.13,0.31,0.17,0.13
7,3,0.54,1.02,34.59,-1.28,0.95,4.09,0.00,0.00,1.00,1.00,-1.34,2.58e-05,-0.04,-0.97,-2.549e-04,0.05,-0.90,8.4e-04,-0.40,0.27,1083.78,0.53,0.59,0.12,0.11,0.22,0.24,0.11,0.03
11,1,0.98,0.82,6.46,-0.80,0.86,2.67,1.00,0.00,0.00,1.00,-1.84,-3.634e-04,0.01,-1.07,-1.929e-04,-0.08,-1.12,-4.06e-04,-0.15,0.24,543.30,0.58,0.70,0.09,0.10,0.17,0.12,0.14,0.06
11,2,1.15,0.82,10.85,-1.00,0.93,2.45,1.00,0.00,0.00,1.00,-1.57,2.662e-04,-0.05,-1.52,-3.044e-04,0.04,-1.89,-8.52e-04,-0.09,0.50,510.49,0.64,0.68,0.12,0.11,0.15,0.16,0.08,0.03
11,3,1.09,0.87,12.90,-1.09,0.96,2.50,1.00,0.00,0.00,1.00,-1.53,4.838e-04,-0.10,-1.51,-1.0555e-03,0.09,-2.16,-1.592e-03,-0.13,0.27,637.21,0.65,0.72,0.11,0.11,0.16,0.14,0.06,0.01
