"DefaultSPUID","DefaultGenusID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
1,1,0.82,0.88,10.09,-0.79,0.82,5.22,0.35,-1.21,0.99,1.01,-1.51,-1.632e-04,-0.06,-0.45,-1.502e-04,-0.16,0.73,-7.7e-04,-0.36,0.17,347.42,0.35,0.64,0.06,0.09,0.17,0.14,0.40,0.12
1,3,0.76,0.88,10.52,-0.73,0.74,5.35,1.67,-1.44,0.99,1.02,-1.76,1.923e-04,8.3e-03,-0.75,1.945e-04,-0.11,0.91,-2.26e-04,-0.41,0.31,332.58,0.35,0.60,0.06,0.11,0.13,0.15,0.44,0.12
1,8,0.84,0.87,10.48,-0.76,0.78,5.35,0.00,0.00,1.00,1.00,-1.59,4.206e-04,-0.04,-0.57,1.466e-04,-0.15,0.82,-4.96e-04,-0.38,0.17,347.42,0.35,0.61,0.06,0.11,0.15,0.14,0.42,0.12
1,10,1.06,0.87,5.85,-0.35,0.00,4.15,0.28,-0.97,0.99,1.02,-1.64,7.04e-05,-0.01,-0.74,3.1867e-03,-0.16,-0.87,6.16e-04,-0.19,0.74,123.13,0.54,0.59,0.10,0.10,0.19,0.18,0.16,0.10
1,13,1.37,0.82,2.47,-0.10,0.00,2.40,0.00,0.00,1.00,1.00,-1.60,1.927e-04,-0.02,-0.66,2.5143e-03,-0.14,0.38,1.084e-03,-0.41,0.53,260.64,0.43,0.54,0.08,0.10,0.17,0.24,0.30,0.10
3,1,0.74,0.91,10.09,-0.79,0.82,5.22,0.35,-1.21,0.99,1.01,-1.32,-4.63e-05,-0.09,-0.60,-9.856e-04,-0.10,0.42,-1.504e-03,-0.31,0.19,243.75,0.38,0.63,0.08,0.09,0.17,0.15,0.34,0.11
3,3,0.81,0.87,7.89,-0.48,0.00,6.39,1.67,-1.44,0.99,1.02,-1.48,2.364e-04,-0.05,-0.73,1.152e-03,-0.12,0.68,-1.583e-03,-0.36,0.64,268.06,0.37,0.59,0.07,0.10,0.14,0.19,0.39,0.09
3,8,0.75,0.90,7.22,-0.46,0.00,6.12,0.00,0.00,1.00,1.00,-1.36,7.03e-05,-0.08,-0.60,-2.703e-04,-0.11,0.56,-1.445e-03,-0.34,0.59,268.06,0.37,0.62,0.08,0.10,0.16,0.16,0.36,0.10
3,10,1.06,0.87,5.85,-0.35,0.00,4.15,0.28,-0.97,0.99,1.02,-1.64,7.04e-05,-0.01,-0.74,3.1867e-03,-0.16,-0.87,6.16e-04,-0.19,0.74,123.13,0.54,0.59,0.10,0.10,0.19,0.18,0.16,0.10
3,13,1.37,0.82,2.47,-0.10,0.00,2.40,0.00,0.00,1.00,1.00,-1.60,1.927e-04,-0.02,-0.66,2.5143e-03,-0.14,0.38,1.084e-03,-0.41,0.53,260.64,0.43,0.54,0.08,0.10,0.17,0.24,0.30,0.10
4,1,0.82,0.88,10.09,-0.79,0.82,5.22,0.35,-1.21,0.99,1.01,-1.51,-1.632e-04,-0.06,-0.45,-1.502e-04,-0.16,0.73,-7.7e-04,-0.36,0.17,347.42,0.35,0.64,0.06,0.09,0.17,0.14,0.40,0.12
4,3,0.76,0.88,10.52,-0.73,0.74,5.35,1.67,-1.44,0.99,1.02,-1.76,1.923e-04,8.3e-03,-0.75,1.945e-04,-0.11,0.91,-2.26e-04,-0.41,0.31,332.58,0.35,0.60,0.06,0.11,0.13,0.15,0.44,0.12
4,8,0.84,0.87,10.48,-0.76,0.78,5.35,0.00,0.00,1.00,1.00,-1.59,4.206e-04,-0.04,-0.57,1.466e-04,-0.15,0.82,-4.96e-04,-0.38,0.17,347.42,0.35,0.61,0.06,0.11,0.15,0.14,0.42,0.12
4,10,1.06,0.87,5.85,-0.35,0.00,4.15,0.28,-0.97,0.99,1.02,-1.64,7.04e-05,-0.01,-0.74,3.1867e-03,-0.16,-0.87,6.16e-04,-0.19,0.74,123.13,0.54,0.59,0.10,0.10,0.19,0.18,0.16,0.10
4,13,1.37,0.82,2.47,-0.10,0.00,2.40,0.00,0.00,1.00,1.00,-1.60,1.927e-04,-0.02,-0.66,2.5143e-03,-0.14,0.38,1.084e-03,-0.41,0.53,260.64,0.43,0.54,0.08,0.10,0.17,0.24,0.30,0.10
5,1,0.46,0.98,6.33,-0.96,0.94,2.68,0.00,0.00,1.00,1.00,-1.58,-4.361e-04,-0.04,0.56,1.3618e-03,-0.41,0.03,3.77e-04,-0.41,0.21,694.41,0.38,0.66,0.07,0.07,0.34,0.19,0.20,0.05
5,2,0.59,0.91,6.87,-1.14,0.98,3.76,0.00,0.00,1.00,1.00,-1.50,-1.556e-04,-0.05,0.47,9.157e-04,-0.32,-0.08,6.71e-04,-0.39,0.20,827.38,0.38,0.61,0.07,0.08,0.35,0.23,0.18,0.06
5,3,0.39,1.02,18.87,-0.99,0.87,5.15,0.00,0.00,1.00,1.00,-1.02,1.076e-04,-0.13,0.69,1.3488e-03,-0.39,0.04,-1.22e-04,-0.38,0.13,508.22,0.34,0.62,0.10,0.10,0.36,0.21,0.19,0.05
