"DefaultSPUID","DefaultSpeciesTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
1,2,0.80,0.89,10.63,-0.83,0.87,5.25,0.35,-1.21,0.99,1.01,-1.51,-1.8e-04,-0.06,-0.50,-2.8e-04,-0.15,0.70,-7.5e-04,-0.36,0.17,323.76,0.35,0.63,0.07,0.09,0.16,0.14,0.40,0.12
1,6,1.21,0.80,5.84,-0.39,0.00,4.62,0.35,-1.21,0.99,1.01,-1.51,1.02e-04,-0.07,0.29,9.9e-04,-0.34,1.22,-2.27e-03,-0.39,0.80,347.42,0.27,0.64,0.05,0.09,0.20,0.16,0.46,0.09
1,13,1.01,0.82,6.19,-0.88,0.94,2.11,0.00,0.00,1.00,1.00,-1.73,-6.4e-05,-0.02,-1.66,-2.3e-04,0.03,-0.70,5.6e-04,-0.34,1.23,835.86,0.61,0.70,0.10,0.09,0.12,0.13,0.16,0.05
1,20,0.97,0.85,2.37,-0.58,0.89,1.57,0.00,0.00,1.00,1.00,-2.13,-4.59e-04,0.01,-1.20,-7.0e-05,-0.09,-0.55,9.3e-04,-0.34,8.59,506.80,0.62,0.72,0.07,0.07,0.14,0.11,0.14,0.07
1,29,0.76,0.88,10.52,-0.73,0.74,5.35,1.67,-1.44,0.99,1.02,-1.76,1.92e-04,8.3e-03,-0.75,1.9e-04,-0.11,0.91,-2.3e-04,-0.41,0.31,332.58,0.35,0.60,0.06,0.11,0.13,0.15,0.44,0.12
1,44,1.10,0.83,11.41,-1.08,0.99,2.32,0.00,0.00,1.00,1.00,-1.86,1.96e-04,-0.06,-1.38,7.4e-04,-0.10,-1.60,-9.9e-04,-0.11,0.32,263.16,0.66,0.73,0.09,0.08,0.13,0.12,0.10,0.05
1,63,1.11,0.82,13.03,-1.07,0.95,2.52,0.00,0.00,1.00,1.00,-1.40,2.45e-04,-0.05,-1.59,-1.9e-04,-0.01,-1.90,-1.34e-03,-0.12,0.32,576.63,0.64,0.71,0.14,0.14,0.12,0.11,0.07,0.02
1,65,0.96,0.86,6.28,-0.82,0.90,2.58,0.00,0.00,1.00,1.00,-1.23,-1.1e-05,-0.09,-1.36,2.0e-04,-0.05,-2.58,-1.52e-03,-0.01,1.11,620.18,0.64,0.72,0.15,0.11,0.14,0.14,0.04,0.01
1,74,1.06,0.85,12.64,-1.19,0.97,1.87,0.28,-0.97,0.99,1.02,-1.89,-1.7e-04,7.2e-04,-0.96,7.0e-04,-0.03,-1.97,-4.8e-04,-0.14,0.53,425.88,0.61,0.62,0.09,0.08,0.22,0.25,0.06,0.03
1,76,1.06,0.87,5.85,-0.35,0.00,4.15,0.28,-0.97,0.99,1.02,-1.64,7.0e-05,-0.01,-0.74,3.19e-03,-0.16,-0.87,6.2e-04,-0.19,0.74,123.13,0.54,0.59,0.10,0.10,0.19,0.18,0.16,0.10
1,86,1.20,0.83,5.64,-0.85,0.93,1.87,0.00,0.00,1.00,1.00,-1.85,-3.37e-04,-6.49e-03,-1.50,2.0e-05,0.03,-2.14,-1.2e-03,-0.07,0.48,362.28,0.66,0.68,0.10,0.09,0.15,0.18,0.06,0.03
1,93,1.51,0.80,22.61,-1.27,0.98,1.99,0.00,0.00,1.00,1.00,-1.90,-6.83e-04,-0.01,-2.55,-1.05e-03,0.29,-1.46,-5.9e-04,-0.30,0.28,496.33,0.70,0.70,0.10,0.06,0.08,0.20,0.09,0.01
1,153,2.91,0.64,33.32,-1.52,1.05,1.91,0.00,0.00,1.00,1.00,-1.29,4.17e-04,-0.06,-1.62,-1.0e-03,4.88e-03,-2.40,-3.53e-03,-0.01,0.35,121.39,0.65,0.69,0.16,0.14,0.12,0.12,0.05,0.03
1,171,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,2,0.74,0.91,10.63,-0.83,0.87,5.25,0.35,-1.21,0.99,1.01,-1.32,-4.6e-05,-0.09,-0.60,-9.9e-04,-0.10,0.42,-1.5e-03,-0.31,0.19,240.79,0.38,0.62,0.08,0.09,0.17,0.15,0.34,0.11
3,6,1.21,0.80,5.84,-0.39,0.00,4.62,0.35,-1.21,0.99,1.01,-1.51,1.02e-04,-0.07,0.29,9.9e-04,-0.34,1.22,-2.27e-03,-0.39,0.80,347.42,0.27,0.64,0.05,0.09,0.20,0.16,0.46,0.09
3,13,1.01,0.82,6.19,-0.88,0.94,2.11,0.00,0.00,1.00,1.00,-1.73,-6.4e-05,-0.02,-1.66,-2.3e-04,0.03,-0.70,5.6e-04,-0.34,1.23,835.86,0.61,0.70,0.10,0.09,0.12,0.13,0.16,0.05
