"DefaultSPUID","Year","MeanAnnualTemp","MeanAnnualPrecip"
1,1980,3.34,1119.57
1,1981,3.34,1119.57
2,1980,-6.84,542.25
2,1981,-6.84,542.25
3,1980,-3.51,866.05
3,1981,-3.51,866.05
4,1980,-1.34,1119.57
4,1981,-1.34,1119.57
5,1980,5.85,1344.84
5,1981,5.85,1344.84
6,1980,5.37,1053.82
6,1981,5.37,1053.82
7,1980,3.95,1071.07
7,1981,3.95,1071.07
8,1980,-7.35,372.09
8,1981,-7.35,372.09
9,1980,-9.14,372.09
9,1981,-9.14,372.09
10,1980,-7.68,372.09
10,1981,-7.68,372.09
11,1980,2.62,1018.66
11,1981,2.62,1018.66
12,1980,5.14,1018.66
12,1981,5.14,1018.66
13,1980,-1.76,952.22
13,1981,-1.76,952.22
14,1980,-5.16,682.70
14,1981,-5.16,682.70
15,1980,-0.31,952.22
15,1981,-0.31,952.22
16,1980,-0.43,731.49
16,1981,-0.43,731.49
17,1980,6.67,895.14
17,1981,6.67,895.14
18,1980,-2.92,599.35
18,1981,-2.92,599.35
19,1980,2.03,731.49
19,1981,2.03,731.49
20,1980,-7.60,409.17
20,1981,-7.60,409.17
21,1980,-6.32,409.17
21,1981,-6.32,409.17
22,1980,-1.90,500.20
22,1981,-1.90,500.20
23,1980,0.40,500.20
23,1981,0.40,500.20
24,1980,2.26,495.84
24,1981,2.26,495.84
25,1980,-5.28,409.17
25,1981,-5.28,409.17
26,1980,-5.25,421.77
26,1981,-5.25,421.77
27,1980,-2.45,443.43
27,1981,-2.45,443.43
28,1980,-0.02,443.43
28,1981,-0.02,443.43
29,1980,1.68,384.66
29,1981,1.68,384.66
30,1980,1.68,384.66
30,1981,1.68,384.66
31,1980,-2.50,438.00
31,1981,-2.50,438.00
32,1980,-2.99,438.00
32,1981,-2.99,438.00
33,1980,-1.70,438.00
33,1981,-1.70,438.00
34,1980,0.37,438.00
34,1981,0.37,438.00
35,1980,2.79,412.82
35,1981,2.79,412.82
36,1980,-0.82,553.64
36,1981,-0.82,553.64
37,1980,2.79,412.82
37,1981,2.79,412.82
38,1980,-1.09,459.78
38,1981,-1.09,459.78
39,1980,0.66,635.81
39,1981,0.66,635.81
40,1980,-2.61,635.81
40,1981,-2.61,635.81
41,1980,4.06,2059.55
41,1981,4.06,2059.55
42,1980,1.50,635.81
42,1981,1.50,635.81
43,1980,-10.70,178.49
43,1981,-10.70,178.49
44,1980,-6.73,335.72
44,1981,-6.73,335.72
45,1980,-8.83,335.72
45,1981,-8.83,335.72
46,1980,-4.97,377.96
46,1981,-4.97,377.96
47,1980,-9.12,568.84
47,1981,-9.12,568.84
48,1980,-15.92,191.69
48,1981,-15.92,191.69
49,1980,-10.70,292.20
49,1981,-10.70,292.20
50,1980,-6.44,292.20
50,1981,-6.44,292.20
51,1980,-7.55,292.20
51,1981,-7.55,292.20
52,1980,-3.35,325.72
52,1981,-3.35,325.72
53,1980,-8.90,615.55
53,1981,-8.90,615.55
54,1980,-5.42,292.20
54,1981,-5.42,292.20
58,1980,-9.61,292.20
58,1981,-9.61,292.20
59,1980,-2.44,292.20
59,1981,-2.44,292.20
