"ColumnMappingID","RecSourceRuleID","ArrayElementID","DestinationFieldID","DestinationFieldTypeID","IsChildTableField"
389,18,23,13,5,0
390,18,14,5,3,0
391,18,15,6,3,0
392,18,16,7,3,0
393,18,17,8,3,0
394,18,18,9,3,0
395,18,20,10,4,0
396,18,21,11,4,0
397,18,22,12,4,0
398,18,2,2,3,0
399,18,3,3,1,0
400,18,1,1,2,0
401,19,4,3,5,0
402,19,1,2,2,0
403,19,3,0,3,0
404,19,5,4,4,0
405,19,2,1,2,0
406,20,21,6,4,0
407,20,45,30,4,0
408,20,46,31,4,0
409,20,26,11,4,0
410,20,42,27,4,0
411,20,43,28,4,0
412,20,44,29,4,0
413,20,16,41,3,0
414,20,37,22,4,0
415,20,18,43,3,0
416,20,20,5,4,0
417,20,31,16,4,0
418,20,38,23,4,0
419,20,39,24,4,0
420,20,40,25,4,0
421,20,41,26,4,0
422,20,36,21,4,0
423,20,35,20,4,0
424,20,34,19,4,0
425,20,24,9,4,0
426,20,32,17,4,0
427,20,22,7,4,0
428,20,30,15,4,0
429,20,29,14,4,0
430,20,28,13,4,0
431,20,27,12,4,0
432,20,15,40,3,0
433,20,25,10,4,0
434,20,47,32,4,0
435,20,23,8,4,0
436,20,33,18,4,0
437,20,17,42,3,0
438,20,3,3,3,0
439,20,1,1,2,0
440,20,2,2,2,0
441,20,14,39,3,0
442,20,48,33,4,0
443,20,49,34,4,0
444,20,50,35,4,0
445,20,51,36,4,0
446,20,52,37,4,0
447,20,53,38,4,0
448,21,3,2,3,0
449,21,4,3,5,0
450,21,2,1,2,0
451,21,1,0,2,0
452,22,38,11,4,0
453,22,34,7,4,0
454,22,39,12,4,0
455,22,1,1,2,0
456,22,2,2,3,0
457,22,35,8,4,0
458,22,31,4,2,0
459,22,42,15,4,0
460,22,32,5,4,0
461,22,40,13,4,0
462,22,33,6,4,0
463,22,21,4,4,1
464,22,43,16,4,0
465,22,24,7,4,1
466,22,23,6,4,1
467,22,13,17,3,0
468,22,14,18,3,0
469,22,15,19,3,0
470,22,16,20,3,0
471,22,17,21,3,0
472,22,25,2,4,1
473,22,26,3,4,1
474,22,27,4,4,1
475,22,41,14,4,0
476,22,22,5,4,1
477,22,37,10,4,0
478,22,19,2,4,1
479,22,36,9,4,0
480,22,30,7,4,1
481,22,29,6,4,1
482,22,20,3,4,1
483,22,28,5,4,1
484,23,30,15,4,0
485,23,29,14,4,0
486,23,28,13,4,0
487,23,20,5,4,0
488,23,27,12,4,0
489,23,21,6,4,0
490,23,22,7,4,0
491,23,23,8,4,0
492,23,24,9,4,0
493,23,25,10,4,0
494,23,26,11,4,0
495,23,31,16,4,0
496,23,17,13,4,1
497,23,14,10,4,1
498,23,1,2,5,0
499,23,12,8,4,1
500,23,19,4,4,0
501,23,9,6,2,1
502,23,8,5,2,1
503,23,7,4,2,1
504,23,6,3,2,1
505,23,0,1,3,0
506,23,13,9,4,1
507,23,32,17,3,0
508,23,16,12,4,1
509,23,10,7,2,1
510,23,15,11,4,1
511,23,36,21,3,0
512,23,35,20,3,0
513,23,34,19,3,0
514,23,33,18,3,0
515,23,5,2,2,1
516,24,27,11,4,0
517,24,1,1,2,0
518,24,2,2,3,0
519,24,19,4,2,0
520,24,21,6,4,0
521,24,22,7,4,0
522,24,23,8,4,0
523,24,26,10,4,0
524,24,13,12,3,0
525,24,14,13,3,0
526,24,17,16,3,0
527,24,16,15,3,0
528,24,15,14,3,0
529,24,20,5,4,0
530,24,25,9,4,0
531,25,22,7,4,0
532,25,16,23,3,0
533,25,28,13,4,0
534,25,30,15,4,0
535,25,31,16,4,0
536,25,32,17,4,0
537,25,20,5,4,0
538,25,33,18,4,0
539,25,1,1,2,0
540,25,34,19,4,0
541,25,13,20,3,0
542,25,29,14,4,0
543,25,15,22,3,0
544,25,27,12,4,0
545,25,26,11,4,0
546,25,25,10,4,0
547,25,24,9,4,0
548,25,23,8,4,0
549,25,17,24,3,0
550,25,21,6,4,0
551,25,19,4,2,0
552,25,2,2,3,0
553,25,14,21,3,0
554,26,6,5,3,0
555,26,11,10,4,0
556,26,10,9,4,0
557,26,9,8,4,0
558,26,7,6,3,0
559,26,5,4,3,0
560,26,4,3,3,0
561,26,3,2,3,0
562,26,2,1,3,0
563,26,1,0,3,0
564,26,8,7,4,0
