"DMID","Name","Description","DMStructureID"
1,"Stand Replacing Matrix #1","Wildfire Matrix #1 (Stand Replacing).  Used for simulations pre-fall 2006 in the Arctic Cordillera, Northern Arctic and Southern Arctic ecozones.",2
2,"Stand Replacing Matrix #2","Wildfire Matrix #2 (Stand Replacing).  Used for simulations pre-fall 2006 in the Taiga Plains, Taiga Shield West, and Taiga Shield East ecozones",2
3,"Stand Replacing Matrix #3","Wildfire Matrix #3 (Stand Replacing).  Used for simulations pre-fall 2006 in the Boreal Shield West and Boreal Plains ecozones",2
4,"Stand Replacing Matrix #4","Wildfire Matrix #4 (Stand Replacing).  Used for simulations pre-fall 2006 in the Atlantic Maritime and Mixedwood Plains ecozones",2
5,"Stand Replacing Matrix #5","Wildfire Matrix #5 (Stand Replacing).  Used for simulations pre-fall 2006 in the Prairies ecozone",2
6,"Stand Replacing Matrix #6","Wildfire Matrix #6 (Stand Replacing).  Used for simulations pre-fall 2006 in the Taiga Cordillera ecozone",2
7,"Stand Replacing Matrix #7","Wildfire Matrix #7 (Stand Replacing).  Used for simulations pre-fall 2006 in the Boreal Cordillera and Montane Cordillera ecozones",2
8,"Stand Replacing Matrix #8","Wildfire Matrix #8 (Stand Replacing).  Used for simulations pre-fall 2006 in the Pacific Maritime ecozone",2
9,"Stand Replacing Matrix #9","Wildfire Matrix #9 (Stand Replacing).  Used for simulations pre-fall 2006 in the Hudson Plains and Boreal Shield East ecozones",2
10,"Stand Replacing Matrix #10","Insect Matrix #1 (Stand Replacing).  Traditionally used for all ecozones across Canada.",2
11,"Stand Replacing Matrix #11","Legacy Clear Cutting with Slash-Burn Matrix #1 (Stand Replacing).  Arctic Cordillera, Northern and Southern Arctic, Taiga Plains, Taiga Shield West and East, Boreal Shield West, Boreal Plains, Taiga Cordillera, and Prairies ecozones.",2
12,"Stand Replacing Matrix #12","Legacy Clear Cutting with Slash-Burn Matrix #2 (Stand Replacing).  Atlantic Maritime and Mixedwood Plains ecozones.",2
13,"Stand Replacing Matrix #13","Legacy Clear Cutting with Slash-Burn Matrix #3 (Stand Replacing).  Boreal Cordillera and Montane Cordillera ecozones.",2
14,"Stand Replacing Matrix #14","Legacy Clear Cutting with Slash-Burn Matrix #4 (Stand Replacing).  Pacific Maritime ecozone.",2
15,"Stand Replacing Matrix #15","Legacy Clear Cutting with Slash-Burn Matrix #5 (Stand Replacing).  Traditionally used in the Hudson Plains and Boreal Shield East ecozones.",2
