"DMID","DMRow","DMColumn","Proportion"
1,1,18,0.04
1,1,20,0.64
1,1,24,1.1e-03
1,1,26,0.27
1,1,27,3.0e-03
1,1,28,0.02
1,2,13,0.29
1,2,24,1.0e-03
1,2,26,0.60
1,2,27,9.0e-03
1,2,28,0.09
1,3,21,0.49
1,3,24,1.8e-03
1,3,26,0.45
1,3,27,5.0e-03
1,3,28,0.04
1,4,21,0.59
1,4,24,1.4e-03
1,4,26,0.35
1,4,27,5.0e-03
1,4,28,0.04
1,5,15,0.50
1,5,16,0.50
1,6,13,0.40
1,6,14,0.40
1,6,24,3.0e-04
1,6,26,0.18
1,6,28,0.01
1,7,18,0.04
1,7,22,0.64
1,7,24,1.1e-03
1,7,26,0.27
1,7,27,3.0e-03
1,7,28,0.02
1,8,13,0.29
1,8,24,1.0e-03
1,8,26,0.60
1,8,27,9.0e-03
1,8,28,0.09
1,9,23,0.49
1,9,24,1.8e-03
1,9,26,0.45
1,9,27,5.0e-03
1,9,28,0.04
1,10,23,0.59
1,10,24,1.4e-03
1,10,26,0.35
1,10,27,5.0e-03
1,10,28,0.04
1,11,15,0.50
1,11,16,0.50
1,12,13,0.40
1,12,14,0.40
1,12,24,3.0e-04
1,12,26,0.18
1,12,28,0.01
1,13,13,0.59
1,13,17,0.10
1,13,18,0.10
1,13,24,3.0e-04
1,13,26,0.18
1,13,27,2.0e-03
1,13,28,0.01
1,14,14,0.59
1,14,17,0.10
1,14,19,0.10
1,14,24,3.0e-04
1,14,26,0.18
1,14,27,2.0e-03
1,14,28,0.01
1,15,15,0.59
1,15,17,0.09
1,15,18,0.09
1,15,24,7.0e-04
1,15,26,0.18
1,15,27,2.0e-03
1,15,28,0.01
1,16,16,0.59
1,16,17,0.09
1,16,19,0.09
1,16,24,7.0e-04
1,16,26,0.18
1,16,27,2.0e-03
1,16,28,0.01
1,17,17,0.79
1,17,18,0.10
1,17,24,4.0e-04
1,17,26,0.09
1,17,27,1.0e-03
1,17,28,9.0e-03
1,18,18,0.95
1,18,26,0.04
1,18,27,1.0e-03
1,18,28,9.0e-03
1,19,19,0.95
1,19,26,0.04
1,19,27,1.0e-03
1,19,28,9.0e-03
1,20,18,0.10
1,20,20,0.79
1,20,24,4.0e-04
1,20,26,0.09
1,20,27,1.0e-03
1,20,28,9.0e-03
1,21,15,0.59
1,21,17,0.09
1,21,18,0.09
1,21,24,7.0e-04
1,21,26,0.18
1,21,27,2.0e-03
1,21,28,0.01
1,22,18,0.10
1,22,22,0.79
1,22,24,4.0e-04
1,22,26,0.09
1,22,27,1.0e-03
1,22,28,9.0e-03
1,23,15,0.59
1,23,17,0.09
1,23,18,0.09
1,23,24,7.0e-04
1,23,26,0.18
1,23,27,2.0e-03
1,23,28,0.01
1,24,24,1.00
1,25,25,1.00
2,1,20,0.68
2,1,24,1.16e-03
2,1,26,0.28
2,1,27,3.16e-03
2,1,28,0.02
2,2,24,1.44e-03
2,2,26,0.85
2,2,27,0.01
2,2,28,0.12
2,3,21,0.50
2,3,24,1.8e-03
2,3,26,0.44
2,3,27,5.0e-03
2,3,28,0.04
2,4,21,0.60
2,4,24,1.4e-03
2,4,26,0.34
2,4,27,5.0e-03
2,4,28,0.04
2,5,15,0.50
2,5,16,0.50
