"SoilPoolID","OrganicMatterDecayRate","ReferenceTemp","Q10","MaxDecayRate_soft","MaxDecayRate_hard","PropToAtmosphere"
0,0.35,10.00,2.65,1.00,1.00,0.81
1,0.50,10.00,2.00,1.00,1.00,0.83
2,0.14,10.00,2.00,1.00,1.00,0.83
3,0.14,10.00,2.00,1.00,1.00,0.83
4,0.03,10.00,2.00,1.00,1.00,0.83
5,0.01,10.00,2.65,1.00,1.00,1.00
6,3.3e-03,10.00,1.00,1.00,1.00,1.00
7,0.01,10.00,2.00,1.00,1.00,0.83
8,0.07,10.00,2.00,1.00,1.00,0.83
9,0.01,10.00,2.00,1.00,1.00,0.83
10,0.07,10.00,2.00,1.00,1.00,0.83
11,1.0e-03,10.00,2.00,1.00,1.00,1.00
12,0.00,10.00,2.00,1.00,1.00,1.00
