"DistTypeID","DistTypeName","OnOffSwitch","Description","IsStandReplacing","IsMultiYear","MultiYearCount"
0,"Unknown",0,"Unknown disturbance type.",0,0,0
1,"Wild Fire",0,"Wildfire causing stand mortality.",1,0,0
2,"Insect Disturbance",0,"Insect infestations resulting in stand mortality.",1,0,0
3,"Slashburn following clearcut",0,"This only applies the slashburn disturbance, and is intended for inventory with a recent harvest history",1,0,0
4,"Clearcut harvesting with salvage",0,"Applies to areas where clear-cut logging occurs. Salvage moves 50% of stem snags to the FPS.",1,0,0
5,"Fire with salvage logging",0,"Applies to areas where a non stand replacing fire occurred followed by salvage logging.  This sequence of events is assumed to have occurred in the same year.  Also, it is assumed that this will remain as ""forestry"" land use.",1,0,0
6,"Insects with salvage logging",0,"Applies to areas where an insect infestation has/may occur and is subsequently salvage logged.  This sequence of events is assumed to have occurred in the same year.  Also, it is assumed that this will remain as ""forestry"" land use.",1,0,0
7,"Deforestation",0,"The conversion of forested land to a non-forest land use.  For example: forest to agricultural land.",1,0,0
8,"Afforestation",0,"The conversion of land that has been non-forest for atleast 50 years to forested land.",0,0,0
9,"Natural non-forest rehabilitation",0,"Natural conversion of land for non-forest to forest.  This will not cause immediate C stock changes.",0,0,0
10,"Partial cutting",0,"Partial cutting removes 50% of the merchantable biomass from a stand.",0,0,0
11,"Natural Succession",0,"For users who explicitly model natural succession in stands as events. No stock changes are associatied with this disturbance type.",0,0,0
12,"WJPBW - Year 1 of outbreak",0,"Western Jack Pine Bud Worm - Year 1 of outbreak",0,0,0
13,"WJPBW - Year 2 of outbreak",0,"Western Jack Pine Bud Worm - Year 2 of outbreak",0,0,0
14,"WJPBW - Year 3 of outbreak",0,"Western Jack Pine Bud Worm - Year 3 of outbreak",0,0,0
15,"WJPBW - Year 4 of outbreak",0,"Western Jack Pine Bud Worm - Year 4 of outbreak",0,0,0
16,"Aspen Defoliators - Type F",0,"Aspen Defoliators - Type F",0,0,0
17,"Aspen Defoliators - Type E",0,"Aspen Defoliators - Type E",0,0,0
18,"Aspen Defoliators - Type D",0,"Aspen Defoliators - Type D",0,0,0
19,"Aspen Defoliators - Type C",0,"Aspen Defoliators - Type C",0,0,0
20,"Aspen Defoliators - Type B",0,"Aspen Defoliators - Type B",0,0,0
21,"Aspen Defoliators - Type A",0,"Aspen Defoliators - Type A",0,0,0
22,"SBW for young spruce stands  - Impact Type 1",0,"Non-stand replacing Spruce Bud Worm Impact Type 1 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
23,"SBW for young spruce stands  - Impact Type 2",0,"Non-stand replacing Spruce Bud Worm Impact Type 2 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
24,"SBW for young spruce stands  - Impact Type 3",0,"Non-stand replacing Spruce Bud Worm Impact Type 3 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
25,"SBW for young spruce stands  - Impact Type 4",0,"Non-stand replacing Spruce Bud Worm Impact Type 4 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
26,"SBW for young spruce stands  - Impact Type 5",0,"Non-stand replacing Spruce Bud Worm Impact Type 5 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
27,"SBW for young spruce stands  - Impact Type 6",0,"Non-stand replacing Spruce Bud Worm Impact Type 6 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
28,"SBW for young spruce stands  - Impact Type 7",0,"Non-stand replacing Spruce Bud Worm Impact Type 7 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
29,"SBW for young spruce stands  - Impact Type 8",0,"Non-stand replacing Spruce Bud Worm Impact Type 8 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
30,"SBW for young spruce stands  - Impact Type 9",0,"Non-stand replacing Spruce Bud Worm Impact Type 9 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
31,"SBW for young spruce stands  - Impact Type 10",0,"Non-stand replacing Spruce Bud Worm Impact Type 10 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
32,"SBW for young spruce stands  - Impact Type 11",0,"Non-stand replacing Spruce Bud Worm Impact Type 11 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
33,"SBW for young spruce stands  - Impact Type 12",0,"Non-stand replacing Spruce Bud Worm Impact Type 12 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
34,"SBW for young spruce stands  - Impact Type 13",0,"Non-stand replacing Spruce Bud Worm Impact Type 13 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
35,"SBW for young spruce stands  - Impact Type 14",0,"Non-stand replacing Spruce Bud Worm Impact Type 14 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
36,"SBW for young spruce stands  - Impact Type 15",0,"Non-stand replacing Spruce Bud Worm Impact Type 15 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
37,"SBW for young spruce stands  - Impact Type 16",0,"Non-stand replacing Spruce Bud Worm Impact Type 16 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
38,"SBW for young spruce stands  - Impact Type 17",0,"Non-stand replacing Spruce Bud Worm Impact Type 17 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
39,"SBW for young spruce stands  - Impact Type 18",0,"Non-stand replacing Spruce Bud Worm Impact Type 18 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
40,"SBW for young spruce stands  - Impact Type 19",0,"Non-stand replacing Spruce Bud Worm Impact Type 19 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
41,"SBW for young spruce stands  - Impact Type 20",0,"Non-stand replacing Spruce Bud Worm Impact Type 20 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
42,"SBW for young spruce stands  - Impact Type 21",0,"Non-stand replacing Spruce Bud Worm Impact Type 21 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
43,"SBW for young spruce stands  - Impact Type 22",0,"Non-stand replacing Spruce Bud Worm Impact Type 22 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
44,"SBW for young spruce stands  - Impact Type 23",0,"Non-stand replacing Spruce Bud Worm Impact Type 23 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
45,"SBW for young spruce stands  - Impact Type 24",0,"Non-stand replacing Spruce Bud Worm Impact Type 24 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
46,"SBW for young spruce stands  - Impact Type 25",0,"Non-stand replacing Spruce Bud Worm Impact Type 25 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
47,"SBW for young spruce stands  - Impact Type 26",0,"Non-stand replacing Spruce Bud Worm Impact Type 26 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
48,"SBW for young spruce stands  - Impact Type 27",0,"Non-stand replacing Spruce Bud Worm Impact Type 27 for young spruce stands  (<= 60 years old). Effects of impact type vary by region.",0,1,28
49,"SBW for old spruce stands  - Impact Type 1",0,"Non-stand replacing Spruce Bud Worm Impact Type 1 for old spruce stands  (>60 years old). Effects of impact type vary by region.",0,1,28
