"EcoBoundaryID","EcoBoundaryName","AverageAge","SoftwoodFoliageFallRate","HardwoodFoliageFallRate","StemAnnualTurnOverRate","SoftwoodBranchTurnOverRate","HardwoodBranchTurnOverRate","AverageDOM","DecayMult","SoftwoodStemSnagToDOM","HardwoodStemSnagToDOM","SoftwoodBranchSnagToDOM","HardwoodBranchSnagToDOM"
4,"Taiga Plains",125.00,0.05,0.95,6.0e-03,0.03,0.03,0.00,1.00,0.03,0.03,0.10,0.10
5,"Taiga Shield West",100.00,0.05,0.95,6.0e-03,0.03,0.03,0.00,1.00,0.03,0.03,0.10,0.10
6,"Boreal Shield West",75.00,0.10,0.95,5.0e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
7,"Atlantic Maritime",125.00,0.15,0.95,6.7e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
8,"Mixedwood Plains",125.00,0.15,0.95,6.7e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
9,"Boreal Plains",125.00,0.10,0.95,5.0e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
10,"Subhumid Prairies",75.00,0.15,0.95,6.0e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
11,"Taiga Cordillera",83.00,0.10,0.95,6.0e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
12,"Boreal Cordillera",175.00,0.10,0.95,4.5e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
13,"Pacific Maritime",300.00,0.15,0.95,6.0e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
14,"Montane Cordillera",150.00,0.10,0.95,4.5e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
15,"Hudson Plains",75.00,0.10,0.95,5.0e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
16,"Taiga Shield East",100.00,0.05,0.95,6.0e-03,0.03,0.03,0.00,1.00,0.03,0.03,0.10,0.10
17,"Boreal Shield East",125.00,0.10,0.95,5.0e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
18,"Semiarid Prairies",75.00,0.15,0.95,6.0e-03,0.04,0.04,0.00,1.00,0.03,0.03,0.10,0.10
