"EcoBoundaryID","Line","EquationType","Parameter1","Parameter2","Description"
1,1,1,18.70,0.45,
1,2,1,-1.30,0.42,
1,3,2,-0.88,-0.17,
1,4,2,-0.69,-0.35,
1,5,2,-1.14,-0.20,
2,1,1,18.70,0.45,
2,2,1,-1.30,0.42,
2,3,2,-0.88,-0.17,
2,4,2,-0.69,-0.35,
2,5,2,-1.14,-0.20,
3,1,1,18.70,0.45,
3,2,1,-1.30,0.42,
3,3,2,-0.88,-0.17,
3,4,2,-0.69,-0.35,
3,5,2,-1.14,-0.20,
4,1,1,18.70,0.45,
4,2,1,-1.30,0.42,
4,3,2,-0.88,-0.17,
4,4,2,-0.69,-0.35,
4,5,2,-1.14,-0.20,
5,1,1,18.70,0.45,
5,2,1,-1.30,0.42,
5,3,2,-0.88,-0.17,
5,4,2,-0.69,-0.35,
5,5,2,-1.14,-0.20,
6,1,1,18.70,0.45,
6,2,1,-1.30,0.42,
6,3,2,-0.88,-0.17,
6,4,2,-0.69,-0.35,
6,5,2,-1.14,-0.20,
7,1,1,18.70,0.45,
7,2,1,-1.30,0.42,
7,3,2,-0.88,-0.17,
7,4,2,-0.69,-0.35,
7,5,2,-1.14,-0.20,
8,1,1,18.70,0.45,
8,2,1,-1.30,0.42,
8,3,2,-0.88,-0.17,
8,4,2,-0.69,-0.35,
8,5,2,-1.14,-0.20,
9,1,1,18.70,0.45,
9,2,1,-1.30,0.42,
9,3,2,-0.88,-0.17,
9,4,2,-0.69,-0.35,
9,5,2,-1.14,-0.20,
10,1,1,18.70,0.45,
10,2,1,-1.30,0.42,
10,3,2,-0.88,-0.17,
10,4,2,-0.69,-0.35,
10,5,2,-1.14,-0.20,
11,1,1,18.70,0.45,
11,2,1,-1.30,0.42,
11,3,2,-0.88,-0.17,
11,4,2,-0.69,-0.35,
11,5,2,-1.14,-0.20,
