"DefaultEcoBoundaryID","DefaultDisturbanceTypeID","DefaultSpeciesTypeID","AnnualOrder","GrowthMultiplier"
4,1,1,1,1.00
4,1,2,1,1.00
4,2,1,1,1.00
4,2,2,1,1.00
4,3,1,1,1.00
4,3,2,1,1.00
4,4,1,1,1.00
4,4,2,1,1.00
4,5,1,1,1.00
4,5,2,1,1.00
4,6,1,1,1.00
4,6,2,1,1.00
4,7,1,1,1.00
4,7,2,1,1.00
4,8,1,1,1.00
4,8,2,1,1.00
4,9,1,1,1.00
4,9,2,1,1.00
4,10,1,1,1.00
4,10,2,1,1.00
4,11,1,1,1.00
4,11,2,1,1.00
4,12,1,1,0.50
4,12,1,2,0.75
4,12,1,3,1.00
4,12,2,1,1.00
4,12,2,2,1.00
4,12,2,3,1.00
4,13,1,1,0.25
4,13,1,2,0.50
4,13,1,3,0.75
4,13,2,1,1.00
4,13,2,2,1.00
4,13,2,3,1.00
4,14,1,1,0.10
4,14,1,2,0.40
4,14,1,3,0.70
4,14,1,4,1.00
4,14,2,1,1.00
4,14,2,2,1.00
4,14,2,3,1.00
4,14,2,4,1.00
4,15,1,1,0.05
4,15,1,2,0.40
4,15,1,3,0.70
4,15,1,4,1.00
4,15,2,1,1.00
4,15,2,2,1.00
4,15,2,3,1.00
4,15,2,4,1.00
4,16,2,1,0.05
4,16,2,2,0.25
4,16,2,3,0.50
4,16,2,4,0.75
4,16,2,5,1.00
4,17,2,1,0.10
4,17,2,2,0.32
4,17,2,3,0.55
4,17,2,4,0.78
4,17,2,5,1.00
4,18,2,1,0.20
4,18,2,2,0.47
4,18,2,3,0.73
4,18,2,4,1.00
4,19,2,1,0.25
4,19,2,2,0.50
4,19,2,3,0.75
4,19,2,4,1.00
4,20,2,1,0.36
4,20,2,2,0.68
4,20,2,3,1.00
4,21,2,1,0.50
4,21,2,2,0.75
4,21,2,3,1.00
4,22,1,1,0.74
4,22,1,2,0.50
4,22,1,3,0.34
4,22,1,4,0.14
4,22,1,5,0.14
4,22,1,6,0.14
4,22,1,7,0.14
4,22,1,8,0.14
4,22,1,9,0.24
4,22,1,10,0.24
4,22,1,11,0.24
4,22,1,12,0.24
4,22,1,13,0.34
4,22,1,14,0.34
4,22,1,15,0.24
4,22,1,16,0.24
4,22,1,17,0.42
4,22,1,18,0.62
4,22,1,19,0.74
4,22,1,20,0.74
4,22,1,21,0.74
4,22,1,22,0.62
4,22,1,23,0.50
4,22,1,24,0.34
4,22,1,25,0.50
4,22,1,26,0.62
4,22,1,27,0.87
4,22,1,28,0.92
4,22,2,1,1.00
4,22,2,2,1.00
4,22,2,3,1.00
4,22,2,4,1.00
4,22,2,5,1.00
4,22,2,6,1.00
4,22,2,7,1.00
4,22,2,8,1.00
4,22,2,9,1.00
4,22,2,10,1.00
4,22,2,11,1.00
4,22,2,12,1.00
4,22,2,13,1.00
4,22,2,14,1.00
4,22,2,15,1.00
4,22,2,16,1.00
4,22,2,17,1.00
4,22,2,18,1.00
4,22,2,19,1.00
4,22,2,20,1.00
4,22,2,21,1.00
4,22,2,22,1.00
4,22,2,23,1.00
4,22,2,24,1.00
4,22,2,25,1.00
4,22,2,26,1.00
4,22,2,27,1.00
4,22,2,28,1.00
4,23,1,1,0.87
4,23,1,2,0.62
4,23,1,3,0.50
4,23,1,4,0.62
4,23,1,5,0.42
4,23,1,6,0.34
4,23,1,7,0.24
4,23,1,8,0.34
4,23,1,9,0.34
4,23,1,10,0.42
4,23,1,11,0.42
4,23,1,12,0.34
4,23,1,13,0.34
4,23,1,14,0.42
4,23,1,15,0.42
4,23,1,16,0.42
4,23,1,17,0.50
4,23,1,18,0.42
4,23,1,19,0.34
4,23,1,20,0.24
4,23,1,21,0.34
4,23,1,22,0.42
4,23,1,23,0.62
4,23,1,24,0.74
4,23,1,25,0.62
4,23,1,26,0.42
4,23,1,27,0.50
4,23,1,28,0.62
4,23,2,1,1.00
4,23,2,2,1.00
4,23,2,3,1.00
4,23,2,4,1.00
4,23,2,5,1.00
4,23,2,6,1.00
4,23,2,7,1.00
4,23,2,8,1.00
4,23,2,9,1.00
4,23,2,10,1.00
