"MappingID","SourceColName","DestinationColName"
1,"ClassifierID","UserDefdClassID"
1,"Name","ClassDesc"
1,"RepdOrderDist","RepOrderDist"
1,"RepdOrderInd","RepOrderInd"
1,"RepdOrderSVOs","RepOrderSVOs"
2,"ClassifierSetID","UserDefdClassSetID"
2,"Name","Name"
3,"ClassifierID","UserDefdClassID"
3,"ClassifierSetID","UserDefdClassSetID"
3,"ClassifierValueID","UserDefdSubclassID"
4,"ClassifierID","UserDefdClassID"
4,"ClassifierValueID","UserDefdSubclassID"
4,"Description","SubclassDesc"
4,"Name","UserDefdSubClassName"
5,"EcoBoundaryID","EcoBoundaryID"
5,"EcoBoundaryName","EcoBoundaryName"
7,"ForestTypeID","ForestTypeID"
7,"SpeciesTypeID","SpeciesTypeID"
7,"SpeciesTypeName","SpeciesTypeName"
8,"AdminBoundaryID","AdminBoundaryID"
8,"AdminBoundaryName","AdminBoundaryName"
9,"Description","Description"
9,"DistTypeID","DistTypeID"
9,"DistTypeName","DistTypeName"
9,"OnOffSwitch","OnOffSwitch"
10,"AdminBoundaryID","AdminBoundaryID"
10,"EcoBoundaryID","EcoBoundaryID"
10,"MapsheetID","MapsheetID"
10,"SPUID","SPUID"
10,"SPUOnOffSwitch","SPUOnOffSwitch"
11,"ClassifierID","UserDefdClassID"
11,"Name","ClassDesc"
11,"RepdOrderDist","RepOrderDist"
11,"RepdOrderInd","RepOrderInd"
11,"RepdOrderSVOs","RepOrderSVOs"
12,"ClassifierSetID","UserDefdClassSetID"
12,"Name","Name"
13,"ClassifierID","UserDefdClassID"
13,"ClassifierSetID","UserDefdClassSetID"
13,"ClassifierValueID","UserDefdSubclassID"
14,"ClassifierID","UserDefdClassID"
14,"ClassifierValueID","UserDefdSubclassID"
14,"Description","SubclassDesc"
14,"Name","UserDefdSubClassName"
17,"ForestTypeID","ForestTypeID"
17,"SpeciesTypeID","SpeciesTypeID"
17,"SpeciesTypeName","SpeciesTypeName"
