"MappingID","RulesVersionID","TableNameInPreDB","TableNameInPostDB"
1,3,"tblClassifiers","tblUserDefdClasses"
2,3,"tblClassifierSets","tblUserDefdClassSets"
3,3,"tblClassifierSetValues","tblUserDefdClassSetValues"
4,3,"tblClassifierValues","tblUserDefdSubclasses"
5,3,"tblEcoBoundary","tblEcoBoundary"
7,3,"tblSpeciesType","tblSpeciesType"
8,3,"tblAdminBoundary","tblAdminBoundary"
9,3,"tblDisturbanceType","tblDisturbanceType"
10,3,"tblSPU","tblSPU"
11,4,"tblClassifiers","tblUserDefdClasses"
12,4,"tblClassifierSets","tblUserDefdClassSets"
13,4,"tblClassifierSetValues","tblUserDefdClassSetValues"
14,4,"tblClassifierValues","tblUserDefdSubclasses"
17,4,"tblSpeciesType","tblSpeciesType"
