"ControlName","Container","DisplayOnHover","DisplayOnGotFocus","HelpText"
"btnAssign","ppColumnMappings",1,0,
"btnCancel","frmWizard",1,0,"Clicking the Cancel button will close this wizard, after confirming you're sure.  If you're in the middle of creating or modifying a set of rules for a data source, all changes made to those rules will be discarded.  Any other changes you made before the last time you clicked Save will persist."
"btnClearAssignments","ppColumnMappings",1,0,
"btnDupSourceRules","ppDataSource",1,0,
"btnDupVersion","ppRulesVersion",1,0,
"btnFinish","frmWizard",1,0,
"btnForeignKey","ppColumnMappings",1,0,
"btnModify","ppRulesVersion",1,0,
"btnModifySourceRules","ppDataSource",1,0,
"btnNewCBMVersion","grpVersionProperties",1,0,
"btnNewDBVersion","grpVersionProperties",1,0,
"btnNewFieldDelim","ppTextFileAttribs",1,0,
"btnNewPurpose","grpVersionProperties",1,0,
"btnNewRecDelim","ppTextFileAttribs",1,0,
"btnNewSourceRules","ppDataSource",1,0,
"btnNewTextFieldDelim","ppTextFileAttribs",1,0,
"btnNewVersion","ppRulesVersion",1,0,
"btnNext","frmWizard",1,0,
"btnNextDataSource","ppColumnMappings",1,0,
"btnNextRulesTemplate","ppColumnMappings",1,0,
"btnPrev","frmWizard",1,0,
"btnRecordSource","pnlDBSourceProperties",1,0,
"btnRemoveSourceRules","ppDataSource",1,0,
"btnRemoveVersion","ppRulesVersion",1,0,
"btnRepeatKey","ppColumnMappings",1,0,
"btnSampleDestDB","grpVersionProperties",1,0,
"btnSampleSourceDB","pnlDBSourceProperties",1,0,
"btnSave","ppColumnMappings",1,0,
"btnUnAssign","ppColumnMappings",1,0,
"cboCBMVersion","grpVersionProperties",0,0,
"cboChildTable","ppDestTables",0,0,
"cboDataSourceType","grpSourceRulesProperties",0,0,
"cboDBEngineDestination","grpVersionProperties",0,0,
"cboDBEngineSource","pnlDBSourceProperties",0,0,
"cboDBVersion","grpVersionProperties",0,0,
"cboFieldDelim","ppTextFileAttribs",0,0,
"cboParentTable","ppDestTables",0,0,
"cboRecDelim","ppTextFileAttribs",0,0,
"cboRepKeyField","grpNumRepeats",0,0,
"cboRepKeyTable","grpNumRepeats",0,0,
"cboTextFieldDelim","ppTextFileAttribs",0,0,
"cboVersionPurpose","grpVersionProperties",0,0,
"chkChildTable","ppDestTables",0,0,
"chkMultFieldDelims","ppTextFileAttribs",0,0,
"chkRepKeyNotImplied","pnlRepeatingfields",0,0,
"dmnNumColumns","pnlNoRepeatingFields",0,0,
"dmnNumDelims","ppTextFileAttribs",0,0,
"dmnNumLines","ppTextFileAttribs",0,0,
"dmnNumParentPrimKeyFields","ppDestTables",0,0,
"dmnNumPrecedingNonRepCols","ppRepFields",0,0,"Enter how many columns precede the repeating columns in each record of this data source."
"dmnNumRepeatingCols","ppRepFields",0,0,"Enter how many columns occur in each repeat."
"dmnNumRepeatKeys","ppRecLayout",0,0,
"dmnNumTrailingNonRepCols","ppRepFields",0,0,"Enter how many non-repeating columns follow all the repeating columns in each record of this data source."
"frmWizard",,0,0,
"grpAltFileNamePatternProps","pnlTextFileProperties",0,1,"Since the Alternative File Name must have '#' characters, indicating a postfix needs to be filled in to complete the file name, you may not choose 'No Postfix'.  If the postfix can be determined from an SQL string, choose 'Postfix from SQL', and enter the SQL string below (only the first field in the SELECT list will be used to form the postfix).  Otherwise, choose 'Sequential Postfix'."
"grpFileNamePatternProps","pnlTextFileProperties",0,1,"If the FileNamePattern doesn't have '#' characters indicating a postfix needs to be filled in to complete the text file name, you must choose 'No Postfix'.  If it does, and the postfix can be determined from an SQL string, choose 'Postfix from SQL', and enter the SQL string below (only the first field in the SELECT list will be used to form the postfix).  Otherwise, choose 'Sequential Postfix'."
"grpNumRepeats","pnlRepeatingfields",0,1,
"grpSourceRulesProperties","ppDataSource",0,1,
"grpVersionProperties","ppRulesVersion",0,1,"The combination of Rules Purpose, CBM Version and Destination Database Version must be unique for this version of the rules, or changes will not be saved.  Version Name: A brief, unique descriptive name for the rules you are creating or modifying.  Rules Purpose: What will these rules be used for (Loader, Parser, CBM, etc.).  CBM Version: Version number of CBM this rules version will address.  Database Version: Version number of whatever destination database this set of rules will address.  Database Engine: what type of database is the destination database?  Sample Destination Database: Browse for a file that has the same schema as the databases to which you will use these rules to write to your data."
"lblAltFileNamePattern","pnlTextFileProperties",0,0,"This box is only used for text files that are sometimes NOT named with a postfix, but sometimes DO get named with a postfix.  In this case, enter the File Name Pattern with the postfix, replacing the postfix with '#' characters, here."
"lblAvailableCols","ppColumnMappings",0,0,
"lblCBMVersion","grpVersionProperties",0,0,
"lblChildTable","ppDestTables",0,0,
"lblConfirmInstructions","ppConfirmRecLayout",0,0,
"lblDataSources","ppDataSource",0,0,
"lblDataSourceType","grpSourceRulesProperties",0,0,
"lblDBEngineDestination","grpVersionProperties",0,0,
"lblDBEngineSource","pnlDBSourceProperties",0,0,
"lblDBVersion","grpVersionProperties",0,0,
"lblFieldDelim","ppTextFileAttribs",0,0,
"lblFilenamePattern","grpSourceRulesProperties",0,0,"This is the 'name' for the rules for this data source.  Each source must receive a name.  If the source is a text file, this is the name of that file.  If the source is one of many text files, each named with a postfix, type the name of one of the files, replacing all digits of the postfix with '#' characters.  If the file is sometimes NOT named with a postfix, but sometimes is, place the name of the file WITHOUT the postfix here.  If the data source is a database table or stored procedure, enter the name of that.  If your datasource will be an sql string, enter a brief stored procedure-like name here; then, make sure you have selected ODBC for your type of Data Source, above, and enter the SQL string into the Record Source box below.  Do NOT enter the SQL string here."
"lblMappingAssignments","ppColumnMappings",0,0,
"lblNumColumns","pnlNoRepeatingFields",0,0,
"lblNumParentPrimKeyFields","ppDestTables",0,0,
"lblNumPrecedingNonRepCols","ppRepFields",0,0,"Enter how many columns precede the repeating columns in each record of this data source."
"lblNumPrimKeyFieldsClarification","ppDestTables",0,0,
"lblNumRepeatingCols","ppRepFields",0,0,"Enter how many columns occur in each repeat."
"lblNumRepeatKeys","ppRecLayout",0,0,
"lblNumTrailingNonRepCols","ppRepFields",0,0,"Enter how many non-repeating columns follow all the repeating columns in each record of this data source."
"lblParentTable","ppDestTables",0,0,
"lblParentTableClarification","ppDestTables",0,0,
