"SPUID","AdminBoundaryID","EcoBoundaryID","MapsheetID","SPUOnOffSwitch"
1,1,17,-1,1
3,2,16,-1,1
4,2,17,-1,0
5,3,7,-1,1
6,4,7,-1,1
7,5,7,-1,1
11,6,7,-1,1
12,6,8,-1,1
13,6,15,-1,1
14,6,16,-1,1
15,6,17,-1,1
16,7,6,-1,1
17,7,8,-1,1
18,7,15,-1,1
19,7,17,-1,1
21,8,5,-1,1
22,8,6,-1,1
23,8,9,-1,1
24,8,10,-1,1
25,8,15,-1,1
26,9,5,-1,1
27,9,6,-1,1
28,9,9,-1,1
29,9,10,-1,1
30,9,18,-1,1
31,10,4,-1,1
32,10,5,-1,1
33,10,6,-1,1
34,10,9,-1,1
35,10,10,-1,1
36,10,14,-1,1
37,10,18,-1,1
38,11,4,-1,1
39,11,9,-1,1
40,11,12,-1,1
41,11,13,-1,1
42,11,14,-1,1
44,12,4,-1,1
45,12,11,-1,1
46,12,12,-1,1
47,12,13,-1,1
50,13,4,-1,1
51,13,5,-1,1
52,13,9,-1,1
53,13,11,-1,0
54,13,12,-1,0
58,14,5,-1,1
59,14,15,-1,1
