"SpeciesTypeID","SpeciesTypeName","ForestTypeID","GenusID","CanFI_Code","CoarseRootTurnProp","FineRootTurnPropIntercept","FineRootTurnPropSlope","HwoodDecayMultiplier","SlopeRootToTotal","InterceptRootToTotal","BranchesToBranchSnag"
1,"Spruce",1,1,100,0.02,0.00,0.64,1.00,0.00,0.00,0.25
2,"Black spruce",1,1,101,0.02,0.00,0.64,1.00,0.00,0.00,0.25
3,"Red spruce",1,1,102,0.02,0.00,0.64,1.00,0.00,0.00,0.25
4,"Norway spruce",1,1,103,0.02,0.00,0.64,1.00,0.00,0.00,0.25
5,"Engelmann spruce",1,1,104,0.02,0.00,0.64,1.00,0.00,0.00,0.25
6,"White spruce",1,1,105,0.02,0.00,0.64,1.00,0.00,0.00,0.25
7,"Sitka spruce",1,1,106,0.02,0.00,0.64,1.00,0.00,0.00,0.25
8,"Black and red spruce",1,1,107,0.02,0.00,0.64,1.00,0.00,0.00,0.25
9,"Red and white spruce",1,1,108,0.02,0.00,0.64,1.00,0.00,0.00,0.25
10,"Other spruce",1,1,109,0.02,0.00,0.64,1.00,0.00,0.00,0.25
11,"Pine",1,2,200,0.02,0.00,0.64,1.00,0.00,0.00,0.25
12,"Western white pine",1,2,201,0.02,0.00,0.64,1.00,0.00,0.00,0.25
13,"Eastern white pine",1,2,202,0.02,0.00,0.64,1.00,0.00,0.00,0.25
14,"Jack pine",1,2,203,0.02,0.00,0.64,1.00,0.00,0.00,0.25
15,"Lodgepole pine",1,2,204,0.02,0.00,0.64,1.00,0.00,0.00,0.25
16,"Shore pine",1,2,205,0.02,0.00,0.64,1.00,0.00,0.00,0.25
17,"Whitebark pine",1,2,206,0.02,0.00,0.64,1.00,0.00,0.00,0.25
18,"Austrian pine",1,2,207,0.02,0.00,0.64,1.00,0.00,0.00,0.25
19,"Ponderosa pine",1,2,208,0.02,0.00,0.64,1.00,0.00,0.00,0.25
20,"Red pine",1,2,209,0.02,0.00,0.64,1.00,0.00,0.00,0.25
21,"Pitch pine",1,2,210,0.02,0.00,0.64,1.00,0.00,0.00,0.25
22,"Scots pine",1,2,211,0.02,0.00,0.64,1.00,0.00,0.00,0.25
23,"Mugho pine",1,2,212,0.02,0.00,0.64,1.00,0.00,0.00,0.25
24,"Limber pine",1,2,213,0.02,0.00,0.64,1.00,0.00,0.00,0.25
25,"Jack, lodgepole and shore pine",1,2,214,0.02,0.00,0.64,1.00,0.00,0.00,0.25
26,"Other pine",1,2,215,0.02,0.00,0.64,1.00,0.00,0.00,0.25
27,"Fir",1,3,300,0.02,0.00,0.64,1.00,0.00,0.00,0.25
28,"Amabilis fir",1,3,301,0.02,0.00,0.64,1.00,0.00,0.00,0.25
29,"Balsam fir",1,3,302,0.02,0.00,0.64,1.00,0.00,0.00,0.25
30,"Grand fir",1,3,303,0.02,0.00,0.64,1.00,0.00,0.00,0.25
31,"Subalpine fir (or alpine fir)",1,3,304,0.02,0.00,0.64,1.00,0.00,0.00,0.25
32,"Balsam and alpine fir",1,3,305,0.02,0.00,0.64,1.00,0.00,0.00,0.25
33,"Alpine, amabilis and grand fir",1,3,306,0.02,0.00,0.64,1.00,0.00,0.00,0.25
34,"Spruce and balsam fir",1,3,320,0.02,0.00,0.64,1.00,0.00,0.00,0.25
35,"Balsam fir and spruce",1,3,321,0.02,0.00,0.64,1.00,0.00,0.00,0.25
36,"Hemlock",1,4,400,0.02,0.00,0.64,1.00,0.00,0.00,0.25
37,"Eastern hemlock",1,4,401,0.02,0.00,0.64,1.00,0.00,0.00,0.25
38,"Western hemlock",1,4,402,0.02,0.00,0.64,1.00,0.00,0.00,0.25
39,"Mountain hemlock",1,4,403,0.02,0.00,0.64,1.00,0.00,0.00,0.25
40,"Western and mountain hemlock",1,4,404,0.02,0.00,0.64,1.00,0.00,0.00,0.25
41,"Douglas-fir and Rocky Mountain Douglas-fir",1,5,500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
42,"Tamarack/larch",1,6,600,0.02,0.00,0.64,1.00,0.00,0.00,0.25
43,"European larch",1,6,601,0.02,0.00,0.64,1.00,0.00,0.00,0.25
44,"Tamarack",1,6,602,0.02,0.00,0.64,1.00,0.00,0.00,0.25
45,"Western larch",1,6,603,0.02,0.00,0.64,1.00,0.00,0.00,0.25
46,"Subalpine larch",1,6,604,0.02,0.00,0.64,1.00,0.00,0.00,0.25
47,"Japanese larch",1,6,605,0.02,0.00,0.64,1.00,0.00,0.00,0.25
48,"Cedar",1,7,700,0.02,0.00,0.64,1.00,0.00,0.00,0.25
49,"Eastern white-cedar",1,7,701,0.02,0.00,0.64,1.00,0.00,0.00,0.25
50,"Western red-cedar",1,7,702,0.02,0.00,0.64,1.00,0.00,0.00,0.25
51,"Cedar and other conifers",1,7,703,0.02,0.00,0.64,1.00,0.00,0.00,0.25
52,"Juniper",1,7,800,0.02,0.00,0.64,1.00,0.00,0.00,0.25
53,"Eastern redcedar",1,7,801,0.02,0.00,0.64,1.00,0.00,0.00,0.25
54,"Rocky Mountain juniper",1,7,802,0.02,0.00,0.64,1.00,0.00,0.00,0.25
55,"Yew",1,7,900,0.02,0.00,0.64,1.00,0.00,0.00,0.25
56,"Western Yew",1,7,901,0.02,0.00,0.64,1.00,0.00,0.00,0.25
57,"Cypress",1,7,1000,0.02,0.00,0.64,1.00,0.00,0.00,0.25
58,"Yellow cypress",1,7,1001,0.02,0.00,0.64,1.00,0.00,0.00,0.25
59,"Other softwoods",1,8,1100,0.02,0.00,0.64,1.00,0.00,0.00,0.25
60,"Tamarck and cedar",1,7,1110,0.02,0.00,0.64,1.00,0.00,0.00,0.25
61,"Unspecified softwood species",1,8,1150,0.02,0.00,0.64,1.00,0.00,0.00,0.25
62,"Poplar/aspen",3,9,1200,0.02,0.00,0.64,1.00,0.00,0.00,0.25
63,"Trembling aspen",3,9,1201,0.02,0.00,0.64,1.00,0.00,0.00,0.25
64,"European white poplar",3,9,1202,0.02,0.00,0.64,1.00,0.00,0.00,0.25
65,"Balsam poplar",3,9,1203,0.02,0.00,0.64,1.00,0.00,0.00,0.25
66,"Black cottonwood",3,9,1204,0.02,0.00,0.64,1.00,0.00,0.00,0.25
67,"Eastern cottonwood",3,9,1205,0.02,0.00,0.64,1.00,0.00,0.00,0.25
68,"Largetooth aspen",3,9,1206,0.02,0.00,0.64,1.00,0.00,0.00,0.25
69,"Carolina poplar",3,9,1207,0.02,0.00,0.64,1.00,0.00,0.00,0.25
70,"Lombardy poplar",3,9,1208,0.02,0.00,0.64,1.00,0.00,0.00,0.25
71,"Hybrid poplar",3,9,1209,0.02,0.00,0.64,1.00,0.00,0.00,0.25
72,"Other poplar",3,9,1210,0.02,0.00,0.64,1.00,0.00,0.00,0.25
73,"Birch",3,10,1300,0.02,0.00,0.64,1.00,0.00,0.00,0.25
74,"Yellow birch",3,10,1301,0.02,0.00,0.64,1.00,0.00,0.00,0.25
75,"Cherry birch",3,10,1302,0.02,0.00,0.64,1.00,0.00,0.00,0.25
76,"White birch",3,10,1303,0.02,0.00,0.64,1.00,0.00,0.00,0.25
77,"Gray birch",3,10,1304,0.02,0.00,0.64,1.00,0.00,0.00,0.25
78,"Alaska paper birch",3,10,1305,0.02,0.00,0.64,1.00,0.00,0.00,0.25
79,"Mountain paper birch",3,10,1306,0.02,0.00,0.64,1.00,0.00,0.00,0.25
80,"Other birch",3,10,1307,0.02,0.00,0.64,1.00,0.00,0.00,0.25
81,"Maple",3,11,1400,0.02,0.00,0.64,1.00,0.00,0.00,0.25
82,"Sugar maple",3,11,1401,0.02,0.00,0.64,1.00,0.00,0.00,0.25
83,"Black maple",3,11,1402,0.02,0.00,0.64,1.00,0.00,0.00,0.25
84,"Bigleaf maple",3,11,1403,0.02,0.00,0.64,1.00,0.00,0.00,0.25
85,"Manitoba maple",3,11,1404,0.02,0.00,0.64,1.00,0.00,0.00,0.25
86,"Red maple",3,11,1405,0.02,0.00,0.64,1.00,0.00,0.00,0.25
87,"Silver maple",3,11,1406,0.02,0.00,0.64,1.00,0.00,0.00,0.25
88,"Norway maple",3,11,1407,0.02,0.00,0.64,1.00,0.00,0.00,0.25
89,"Sugar and black maple",3,11,1408,0.02,0.00,0.64,1.00,0.00,0.00,0.25
90,"Other maple",3,11,1409,0.02,0.00,0.64,1.00,0.00,0.00,0.25
91,"Striped maple",3,11,1410,0.02,0.00,0.64,1.00,0.00,0.00,0.25
92,"Mountain maple",3,11,1411,0.02,0.00,0.64,1.00,0.00,0.00,0.25
93,"Other hardwoods",3,12,1500,0.02,0.00,0.64,1.00,0.00,0.00,0.25
94,"Unspecified hardwood species",3,13,1550,0.02,0.00,0.64,1.00,0.00,0.00,0.25
95,"Hickory",3,12,1600,0.02,0.00,0.64,1.00,0.00,0.00,0.25
96,"Bitternut hickory",3,12,1601,0.02,0.00,0.64,1.00,0.00,0.00,0.25
97,"Red hickory",3,12,1602,0.02,0.00,0.64,1.00,0.00,0.00,0.25
98,"Shagbark hickory",3,12,1603,0.02,0.00,0.64,1.00,0.00,0.00,0.25
99,"Shellbark hickory",3,12,1604,0.02,0.00,0.64,1.00,0.00,0.00,0.25
100,"Walnut",3,12,1700,0.02,0.00,0.64,1.00,0.00,0.00,0.25
101,"Butternut",3,12,1701,0.02,0.00,0.64,1.00,0.00,0.00,0.25
102,"Black walnut",3,12,1702,0.02,0.00,0.64,1.00,0.00,0.00,0.25
103,"Alder",3,12,1800,0.02,0.00,0.64,1.00,0.00,0.00,0.25
104,"Sitka alder",3,12,1801,0.02,0.00,0.64,1.00,0.00,0.00,0.25
105,"Red alder",3,12,1802,0.02,0.00,0.64,1.00,0.00,0.00,0.25
106,"Ironwood",3,12,1900,0.02,0.00,0.64,1.00,0.00,0.00,0.25
107,"Blue-beech",3,12,1950,0.02,0.00,0.64,1.00,0.00,0.00,0.25
108,"Beech",3,12,2000,0.02,0.00,0.64,1.00,0.00,0.00,0.25
109,"Oak",3,12,2100,0.02,0.00,0.64,1.00,0.00,0.00,0.25
110,"White oak",3,12,2101,0.02,0.00,0.64,1.00,0.00,0.00,0.25
