"MappingID","SourceColName","DestinationColName"
11,"ClassifierID","UserDefdClassID"
11,"Name","ClassDesc"
11,"RepdOrderDist","RepOrderDist"
11,"RepdOrderInd","RepOrderInd"
11,"RepdOrderSVOs","RepOrderSVOs"
12,"ClassifierSetID","UserDefdClassSetID"
12,"Name","Name"
13,"ClassifierID","UserDefdClassID"
13,"ClassifierSetID","UserDefdClassSetID"
13,"ClassifierValueID","UserDefdSubclassID"
14,"ClassifierID","UserDefdClassID"
14,"ClassifierValueID","UserDefdSubclassID"
14,"Description","SubclassDesc"
14,"Name","UserDefdSubClassName"
15,"EcoBoundaryID","EcoBoundaryID"
15,"EcoBoundaryName","EcoBoundaryName"
17,"ForestTypeID","ForestTypeID"
17,"SpeciesTypeID","SpeciesTypeID"
17,"SpeciesTypeName","SpeciesTypeName"
18,"AdminBoundaryID","AdminBoundaryID"
18,"AdminBoundaryName","AdminBoundaryName"
19,"Description","Description"
19,"DistTypeID","DistTypeID"
19,"DistTypeName","DistTypeName"
19,"OnOffSwitch","OnOffSwitch"
20,"AdminBoundaryID","AdminBoundaryID"
20,"EcoBoundaryID","EcoBoundaryID"
20,"MapsheetID","MapsheetID"
20,"SPUID","SPUID"
20,"SPUOnOffSwitch","SPUOnOffSwitch"
